380 356
356 624
624 552
552 359
359 346
346 652
652 578
578 642
642 351
351 53
53 12
12 22
22 610
610 669
669 449
449 592
592 454
454 321
321 341
341 510
510 657
657 672
672 255
255 198
198 195
195 448
448 204
204 629
629 5
5 131
131 354
354 350
350 185
185 464
464 479
479 163
163 36
36 313
313 264
264 231
231 671
671 127
127 543
543 486
486 378
378 364
364 148
148 169
169 638
638 563
563 157
157 122
122 603
603 677
677 394
394 618
618 226
226 66
66 546
546 436
436 655
655 332
332 591
591 76
76 658
658 607
607 267
267 79
79 278
278 620
620 621
621 102
102 201
201 571
571 10
10 530
530 626
626 9
9 536
536 50
50 1
1 228
228 634
634 237
237 151
151 418
418 395
395 184
184 134
134 308
308 631
631 55
55 504
504 425
425 299
299 676
676 434
434 489
489 404
404 553
553 52
52 187
187 506
506 271
271 82
82 258
258 556
556 311
311 39
39 587
587 476
476 179
179 48
48 31
31 656
656 612
612 25
25 568
568 493
493 300
300 666
666 668
668 273
273 37
37 298
298 474
474 113
113 499
499 186
186 589
589 396
396 604
604 588
588 116
116 261
261 559
559 358
358 96
96 547
547 133
133 681
681 140
140 503
503 443
443 637
637 249
249 537
537 213
213 363
363 616
616 633
633 161
161 550
550 326
326 469
469 472
472 483
483 84
84 141
141 150
150 496
496 125
125 651
651 653
653 438
438 312
312 585
585 340
340 366
366 182
182 419
419 609
609 57
57 468
468 174
174 86
86 437
437 423
423 519
519 246
246 276
276 566
566 478
478 508
508 202
202 329
329 302
302 521
521 361
361 177
177 146
146 600
600 222
222 632
632 581
581 89
89 421
421 594
594 379
379 314
314 507
507 15
15 561
561 282
282 376
376 540
540 242
242 145
145 492
492 268
268 572
572 344
344 26
26 608
608 323
323 480
480 13
13 659
659 650
650 167
167 623
623 533
533 32
32 272
272 630
630 445
445 424
424 62
62 227
227 223
223 212
212 35
35 132
132 674
674 554
554 338
338 597
597 56
56 138
138 289
289 51
51 180
180 165
165 525
525 181
181 72
72 531
531 288
288 41
41 8
8 560
560 318
318 315
315 248
248 444
444 87
87 551
551 251
251 295
295 58
58 515
515 137
137 238
238 17
17 101
101 327
327 203
203 95
95 183
183 153
153 439
439 457
457 269
269 294
294 106
106 673
673 319
319 477
477 34
34 152
152 614
614 357
357 482
482 617
617 670
670 128
128 646
646 118
118 168
168 574
574 416
416 562
562 374
374 297
297 293
293 619
619 465
465 214
214 154
154 270
270 303
303 641
641 254
254 220
220 611
611 509
509 129
129 320
320 196
196 663
663 224
224 283
283 393
393 442
442 405
405 121
121 502
502 576
576 392
392 343
343 64
64 176
176 7
7 649
649 156
156 263
263 382
382 142
142 353
353 99
99 622
622 0
0 14
14 40
40 92
92 166
166 225
225 123
123 162
162 199
199 83
83 412
412 667
667 475
475 549
549 193
193 229
229 68
68 384
384 420
420 544
544 368
368 488
488 93
93 452
452 112
112 462
462 498
498 494
494 208
208 598
598 143
143 590
590 427
427 130
130 188
188 370
370 639
639 455
455 69
69 334
334 467
467 470
470 197
197 331
331 628
628 124
124 252
252 678
678 409
409 451
451 45
45 59
59 259
259 330
330 33
33 147
147 292
292 210
210 430
430 281
281 233
233 78
78 291
291 647
647 422
422 362
362 6
6 104
104 355
355 640
640 527
527 3
3 584
584 322
322 513
513 453
453 44
44 567
567 192
192 500
500 18
18 274
274 149
149 516
516 27
27 2
2 535
535 285
285 529
529 324
324 411
411 85
85 522
522 372
372 126
126 505
505 512
512 399
399 456
456 280
280 265
265 365
365 205
205 232
232 103
103 257
257 615
615 266
266 407
407 105
105 107
107 135
135 296
296 352
352 625
625 431
431 43
43 433
433 450
450 471
471 538
538 580
580 65
65 108
108 256
256 596
596 441
441 564
564 369
369 606
606 557
557 417
417 91
91 175
175 81
81 70
70 389
389 414
414 239
239 114
114 643
643 284
284 301
301 570
570 348
348 316
316 28
28 20
20 245
245 487
487 484
484 661
661 109
109 390
390 400
400 164
164 648
648 307
307 67
67 240
240 115
115 675
675 447
447 458
458 573
573 110
110 381
381 613
613 485
485 230
230 253
253 160
160 287
287 460
460 432
432 16
16 159
159 665
665 221
221 682
682 286
286 139
139 429
429 211
211 260
260 243
243 171
171 277
277 528
528 577
577 602
602 406
406 662
662 644
644 683
683 397
397 49
49 325
325 391
391 367
367 532
532 111
111 410
410 545
545 241
241 200
200 88
88 534
534 60
60 377
377 558
558 371
371 178
178 215
215 4
4 481
481 336
336 466
466 539
539 459
459 635
635 428
428 386
386 155
155 309
309 463
463 555
555 194
194 170
170 305
305 385
385 514
514 664
664 236
236 375
375 30
30 71
71 100
100 63
63 172
172 415
415 349
349 679
679 38
38 446
446 190
190 645
645 401
401 90
90 520
520 306
306 310
310 206
206 383
383 461
461 601
601 24
24 426
426 388
388 217
217 595
595 219
219 490
490 61
61 317
317 402
402 73
73 548
548 75
75 218
218 403
403 42
42 565
565 636
636 94
94 373
373 189
189 136
136 247
247 586
586 627
627 398
398 605
605 119
119 342
342 29
29 680
680 593
593 345
345 408
408 279
279 333
333 339
339 23
23 440
440 19
19 74
74 497
497 387
387 491
491 435
435 77
77 98
98 47
47 117
117 250
250 11
11 234
234 97
97 347
347 120
120 517
517 244
244 569
569 275
275 209
209 599
599 583
583 158
158 216
216 290
290 524
524 541
541 235
235 526
526 262
262 328
328 413
413 501
501 173
173 582
582 304
304 654
654 21
21 495
495 54
54 473
473 80
80 335
335 191
191 579
579 523
523 660
660 46
46 518
518 207
207 360
360 144
144 575
575 337
337 542
542 511
