L1 = 7.167690510123068e-08
M  = 2.1573237679635384e-08
M' = 2.138553463176925e-08
L2 = 7.61913998419713e-07
k = 0.09191349215195935


mu=  1  koppelfaktor:  0.012105471818443896           L11 =  1.271015952951689e-08
mu=  10  koppelfaktor:  0.09191349215196007           L11 =  7.167690510123075e-08
mu=  50  koppelfaktor:  0.3189152937778247           L11 =  2.5104388978319104e-07
mu=  120  koppelfaktor:  0.5025590523179164           L11 =  5.511246458152739e-07
mu=  300  koppelfaktor:  0.6954249807350502           L11 =  1.3188089595523707e-06
mu=  700  koppelfaktor:  0.8335601308463629           L11 =  3.0231770422511483e-06
mu=  1500  koppelfaktor:  0.9122726676730518           L11 =  6.431362718506176e-06
mu=  3000  koppelfaktor:  0.9534415399876529           L11 =  1.2821509798858728e-05
mu=  5000  koppelfaktor:  0.9713535649625556           L11 =  2.13416484088069e-05
mu=  10000  koppelfaktor:  0.9853963188007415           L11 =  4.264195167648156e-05
